2001	True	False	[50, 50, 60, 63, 77]	25	[-1, -1, -1, -1, -1]	-5
2016	True	False	[51, 51, 53, 68, 77]	25	[-1, -1, -1, -1, -1]	-5
2022	True	False	[50, 50, 52, 70, 78]	25	[-1, -1, -1, -1, -1]	-5
2032	True	False	[50, 50, 53, 54, 93]	26	[-1, -1, -1, -1, -1]	-5
2034	True	False	[50, 50, 53, 73, 74]	25	[-1, -1, -1, -1, -1]	-5
2036	True	False	[50, 50, 53, 69, 78]	25	[-1, -1, -1, -1, -1]	-5
2038	True	False	[50, 50, 50, 66, 84]	25	[-1, -1, -1, -1, -1]	-5
2042	True	False	[50, 50, 54, 55, 91]	25	[-1, -1, -1, -1, -1]	-5
2047	True	False	[50, 59, 61, 64, 66]	25	[-1, -1, -1, -1, -1]	-5
2056	True	False	[50, 50, 52, 71, 77]	25	[-1, -1, -1, -1, -1]	-5
2060	True	False	[50, 50, 53, 69, 78]	25	[-1, -1, -1, -1, -1]	-5
2061	True	False	[52, 59, 61, 64, 64]	25	[-1, -1, -1, -1, -1]	-5
2065	True	False	[50, 50, 55, 55, 90]	25	[-1, -1, -1, -1, -1]	-5
2066	True	False	[50, 50, 52, 72, 76]	25	[-1, -1, -1, -1, -1]	-5
2068	True	False	[50, 55, 60, 60, 75]	25	[-1, -1, -1, -1, -1]	-5
2069	True	False	[50, 50, 57, 71, 72]	25	[-1, -1, -1, -1, -1]	-5
2071	True	False	[50, 51, 59, 68, 72]	25	[-1, -1, -1, -1, -1]	-5
2072	True	False	[52, 58, 60, 65, 65]	25	[-1, -1, -1, -1, -1]	-5
2076	True	False	[50, 50, 51, 72, 77]	25	[-1, -1, -1, -1, -1]	-5
2084	True	False	[50, 50, 55, 70, 75]	25	[-1, -1, -1, -1, -1]	-5
2089	True	False	[50, 50, 51, 60, 89]	25	[-1, -1, -1, -1, -1]	-5
2094	True	False	[50, 50, 52, 73, 75]	25	[-1, -1, -1, -1, -1]	-5
2099	True	False	[50, 50, 53, 68, 79]	25	[-1, -1, -1, -1, -1]	-5
2100	True	False	[50, 50, 52, 69, 79]	25	[-1, -1, -1, -1, -1]	-5
2106	True	False	[53, 57, 60, 65, 65]	25	[-1, -1, -1, -1, -1]	-5
2113	True	False	[52, 59, 60, 64, 65]	25	[-1, -1, -1, -1, -1]	-5
2120	True	False	[50, 50, 55, 60, 85]	25	[-1, -1, -1, -1, -1]	-5
2121	True	False	[50, 50, 53, 73, 74]	25	[-1, -1, -1, -1, -1]	-5
2122	True	False	[50, 57, 62, 63, 68]	25	[-1, -1, -1, -1, -1]	-5
2130	True	False	[50, 50, 51, 64, 85]	25	[-1, -1, -1, -1, -1]	-5
2139	True	False	[50, 50, 52, 60, 88]	26	[-1, -1, -1, -1, -1]	-5
2140	True	False	[50, 53, 57, 58, 82]	25	[-1, -1, -1, -1, -1]	-5
2142	True	False	[50, 50, 52, 69, 79]	25	[-1, -1, -1, -1, -1]	-5
2143	True	False	[50, 59, 59, 64, 68]	25	[-1, -1, -1, -1, -1]	-5
2145	True	False	[51, 59, 62, 63, 65]	25	[-1, -1, -1, -1, -1]	-5
2146	True	False	[50, 56, 58, 61, 75]	25	[-1, -1, -1, -1, -1]	-5
2150	True	False	[50, 50, 52, 72, 76]	25	[-1, -1, -1, -1, -1]	-5
2161	True	False	[52, 57, 60, 65, 66]	25	[-1, -1, -1, -1, -1]	-5
2166	True	False	[50, 50, 54, 56, 90]	26	[-1, -1, -1, -1, -1]	-5
2171	True	False	[51, 61, 61, 62, 65]	25	[-1, -1, -1, -1, -1]	-5
2173	True	False	[50, 50, 52, 65, 83]	25	[-1, -1, -1, -1, -1]	-5
2176	True	False	[50, 50, 52, 65, 83]	24	[-1, -1, -1, -1, -1]	-5
2177	True	False	[50, 50, 52, 65, 83]	25	[-1, -1, -1, -1, -1]	-5
2178	True	False	[50, 50, 56, 69, 75]	25	[-1, -1, -1, -1, -1]	-5
2185	True	False	[50, 52, 54, 71, 73]	25	[-1, -1, -1, -1, -1]	-5
2193	True	False	[50, 54, 62, 63, 71]	25	[-1, -1, -1, -1, -1]	-5
2194	True	False	[50, 50, 56, 62, 82]	25	[-1, -1, -1, -1, -1]	-5
2199	True	False	[50, 50, 62, 64, 74]	25	[-1, -1, -1, -1, -1]	-5
2201	True	False	[50, 52, 56, 60, 82]	25	[-1, -1, -1, -1, -1]	-5
2226	True	False	[50, 50, 53, 58, 89]	26	[-1, -1, -1, -1, -1]	-5
2243	True	False	[50, 51, 54, 54, 91]	26	[-1, -1, -1, -1, -1]	-5
2247	True	False	[50, 50, 53, 73, 74]	25	[-1, -1, -1, -1, -1]	-5
2254	True	False	[50, 50, 52, 65, 83]	25	[-1, -1, -1, -1, -1]	-5
2269	True	False	[50, 50, 52, 64, 84]	26	[-1, -1, -1, -1, -1]	-5
2276	True	False	[50, 50, 53, 67, 80]	25	[-1, -1, -1, -1, -1]	-5
2289	True	False	[50, 61, 61, 64, 64]	25	[-1, -1, -1, -1, -1]	-5
2295	True	False	[50, 50, 52, 72, 76]	25	[-1, -1, -1, -1, -1]	-5
2297	True	False	[51, 51, 52, 72, 74]	25	[-1, -1, -1, -1, -1]	-5
